web-scraper-order,web-scraper-start-url,dulich,dulich-href
"1705399771-26","https://nhandan.vn/du-lich/","[Video] Bãi đá “12 vị tông đồ” - điểm đến nên check-in tại Australia","https://nhandan.vn/video-bai-da-12-vi-tong-do-diem-den-nen-check-in-tai-australia-post791005.html"
"1705399771-27","https://nhandan.vn/du-lich/","Xanh hóa bản đồ du lịch Việt Nam","https://nhandan.vn/xanh-hoa-ban-do-du-lich-viet-nam-post790972.html"
"1705399771-28","https://nhandan.vn/du-lich/","Hội An, thủ đô Hà Nội, Thành phố Hồ Chí Minh tiếp tục chinh phục du khách của Tripadvisor","https://nhandan.vn/hoi-an-thu-do-ha-noi-thanh-pho-ho-chi-minh-tiep-tuc-chinh-phuc-du-khach-cua-tripadvisor-post790911.html"
"1705399771-29","https://nhandan.vn/du-lich/","Năm 2023, lượng tìm kiếm quốc tế về Du lịch Việt Nam tăng nhanh thứ 6 thế giới","https://nhandan.vn/nam-2023-luong-tim-kiem-quoc-te-ve-du-lich-viet-nam-tang-nhanh-thu-6-the-gioi-post790903.html"
"1705399771-30","https://nhandan.vn/du-lich/","Travel+Leisure xếp hạng La Festa Phu Quoc trong top khách sạn mới tốt nhất Việt Nam 2023","https://nhandan.vn/travelleisure-xep-hang-la-festa-phu-quoc-trong-top-khach-san-moi-tot-nhat-viet-nam-2023-post790796.html"
"1705399771-31","https://nhandan.vn/du-lich/","Lễ hội pháo hoa quốc tế Đà Nẵng 2024 sẽ trở lại vào tháng 6 tới","https://nhandan.vn/le-hoi-phao-hoa-quoc-te-da-nang-2024-se-tro-lai-vao-thang-6-toi-post790733.html"
"1705399771-32","https://nhandan.vn/du-lich/","Hoạt động du lịch Tết Dương lịch 2024 ghi nhận tín hiệu lạc quan","https://nhandan.vn/hoat-dong-du-lich-tet-duong-lich-2024-ghi-nhan-tin-hieu-lac-quan-post790612.html"
"1705399771-33","https://nhandan.vn/du-lich/","Đồng Nai thông qua đề án gần 1.000 tỷ đồng phát triển du lịch sinh thái rừng","https://nhandan.vn/dong-nai-thong-qua-de-an-gan-1000-ty-dong-phat-trien-du-lich-sinh-thai-rung-post790605.html"
"1705399771-34","https://nhandan.vn/du-lich/","Đầu năm, Khánh Hòa đón gần 3.400 du khách đến từ tàu biển","https://nhandan.vn/dau-nam-khanh-hoa-don-gan-3400-du-khach-den-tu-tau-bien-post790601.html"
"1705399771-35","https://nhandan.vn/du-lich/","Hai địa phương - Một điểm đến","https://nhandan.vn/hai-dia-phuong-mot-diem-den-post790532.html"
"1705399771-36","https://nhandan.vn/du-lich/","Đà Nẵng xây dựng điểm đến Du lịch cưới","https://nhandan.vn/da-nang-xay-dung-diem-den-du-lich-cuoi-post790529.html"
"1705399771-37","https://nhandan.vn/du-lich/","Khai mạc Năm du lịch Sơn Tây - xứ Đoài 2024","https://nhandan.vn/khai-mac-nam-du-lich-son-tay-xu-doai-2024-post790498.html"
"1705399771-38","https://nhandan.vn/du-lich/","Phát triển du lịch bền vững dựa vào cộng đồng","https://nhandan.vn/phat-trien-du-lich-ben-vung-dua-vao-cong-dong-post790415.html"
"1705399771-39","https://nhandan.vn/du-lich/","Thay đổi cách tiếp cận để đưa các giá trị văn hóa đến với giới trẻ","https://nhandan.vn/thay-doi-cach-tiep-can-de-dua-cac-gia-tri-van-hoa-den-voi-gioi-tre-post790360.html"
"1705399771-40","https://nhandan.vn/du-lich/","Đà Nẵng đón hơn 2.000 khách du lịch tàu biển đầu năm mới 2024","https://nhandan.vn/da-nang-don-hon-2000-khach-du-lich-tau-bien-dau-nam-moi-2024-post790284.html"
"1705399771-41","https://nhandan.vn/du-lich/","Lên kế hoạch sớm để có chuyến du lịch Tết hợp lý","https://nhandan.vn/len-ke-hoach-som-de-co-chuyen-du-lich-tet-hop-ly-post790286.html"
"1705399771-42","https://nhandan.vn/du-lich/","Vĩnh Phúc đón khoảng 90.000 lượt khách trong 3 ngày nghỉ lễ","https://nhandan.vn/vinh-phuc-don-khoang-90000-luot-khach-trong-3-ngay-nghi-le-post790280.html"
"1705399771-43","https://nhandan.vn/du-lich/","Nhà ga hàng không đầu tiên của Việt Nam đạt chuẩn 5 sao","https://nhandan.vn/nha-ga-hang-khong-dau-tien-cua-viet-nam-dat-chuan-5-sao-post790274.html"
"1705399771-44","https://nhandan.vn/du-lich/","Nhiều địa phương tổ chức đón các đoàn khách du lịch quốc tế đầu tiên","https://nhandan.vn/nhieu-dia-phuong-to-chuc-don-cac-doan-khach-du-lich-quoc-te-dau-tien-post790255.html"
"1705399771-45","https://nhandan.vn/du-lich/","[Ảnh] Phố đi bộ hồ Gươm đông đúc ngày cuối kỳ nghỉ Tết Dương lịch 2024","https://nhandan.vn/anh-pho-di-bo-ho-guom-dong-duc-ngay-cuoi-ky-nghi-tet-duong-lich-2024-post790169.html"
